Temperature,Delta Temp,Real VBE,VBE,IC uA,Delta IC
221,3,0.45,0.45,0,1
221,3,0.504,0.5,1.28,0.05
221,3,0.548,0.55,12,0.5
221,3,0.602,0.6,166,4
221,3,0.655,0.65,2290,60
221,3,0.698,0.7,18650,1000
221,3,0.74,0.75,125800,5000
221,3,0.765,0.8,308300,7000
221,3,0.789,0.85,640800,7000
221,3,0.803,0.9,910300,9000
241,5,0.6,0.6,0,1
241,5,0.65,0.65,11.5,0.2
241,5,0.7,0.7,148,3
241,5,0.753,0.75,3340,50
241,5,0.794,0.8,32500,300
241,5,0.831,0.85,192000,1000
241,5,0.856,0.9,465100,2000
241,5,0.872,0.95,735000,4000
293,1.5,0.302,0.3,0,1
293,1.5,0.352,0.35,5.03,0.03
293,1.5,0.405,0.4,39.5,1
293,1.5,0.45,0.45,234,5
293,1.5,0.503,0.5,1890,15
293,1.5,0.547,0.55,10290,80
293,1.5,0.595,0.6,60800,400
293,1.5,0.633,0.65,202000,800
293,1.5,0.658,0.7,397500,2000
293,1.5,0.682,0.75,692000,4000
293,1.5,0.7,0.8,958000,5000
333,1.5,0.147,0.15,0,1
333,1.5,0.201,0.2,1.38,0.02
333,1.5,0.254,0.25,9.01,0.05
333,1.5,0.299,0.3,43.8,0.3
333,1.5,0.352,0.35,277,2
333,1.5,0.405,0.4,1766,50
333,1.5,0.449,0.45,8220,100
333,1.5,0.499,0.5,42150,1000
333,1.5,0.535,0.55,123200,800
333,1.5,0.569,0.6,302300,1000
333,1.5,0.597,0.65,539600,1000
333,1.5,0.616,0.7,772900,1000
363,2,0.102,0.1,0,1
363,2,0.147,0.15,2.83,0.1
363,2,0.201,0.2,16.655,0.3
363,2,0.245,0.25,73.3,0.8
363,2,0.298,0.3,432,5
363,2,0.352,0.35,2520,40
363,2,0.404,0.4,13990,500
363,2,0.445,0.45,50700,900
363,2,0.486,0.5,157300,1500
363,2,0.513,0.55,302600,2000
363,2,0.54,0.6,525300,2500
363,2,0.563,0.65,779300,3000
374,2,0.102,0.05,0,1
374,2,0.102,0.1,2.15,0.01
374,2,0.147,0.15,9.11,0.05
374,2,0.202,0.2,49.3,0.7
374,2,0.245,0.25,193,2
374,2,0.298,0.3,1061,5
374,2,0.351,0.35,5530,70
374,2,0.402,0.4,26300,150
374,2,0.442,0.45,80752,800
374,2,0.48,0.5,214500,1000
374,2,0.507,0.55,375500,1500
374,2,0.534,0.6,617000,2000
374,2,0.554,0.65,852000,4000