CATID,Sepal_length,Sepal_width,Petal_length,Petal_width,Stem_length,Species
irisID_86,5,2,3.5,1,12.8,Versicolor
irisID_94,6.2,2.2,4.5,1.5,5.6,Versicolor
irisID_88,6,2.2,4,1,11.8,Versicolor
irisID_145,6,2.2,5,1.5,11.3,Virginica
irisID_119,5,2.3,3.3,1,5.6,Versicolor
irisID_79,5.5,2.3,4,1.3,,Versicolor
irisID_113,6.3,2.3,4.4,1.3,12.4,Versicolor
irisID_67,4.5,2.3,1.3,0.3,,Setosa
irisID_83,4.9,2.4,3.3,1,6.1,Versicolor
irisID_106,5.5,2.4,3.8,1.1,14.4,Versicolor
irisID_107,5.5,2.4,3.7,1,,Versicolor
irisID_139,5.7,2.5,5,2,,Virginica
irisID_124,5.1,2.5,3,1.1,,Versicolor
irisID_115,5.5,2.5,4,1.3,,Versicolor
irisID_132,4.9,2.5,4.5,1.7,,Virginica
irisID_134,6.7,2.5,5.8,1.8,,Virginica
irisID_98,6.3,2.5,4.9,1.5,,Versicolor
irisID_19,,2.5,5.2,,,Virginica
irisID_172,6.3,2.5,5,1.9,,Virginica
irisID_95,5.6,2.5,3.9,1.1,,Versicolor
irisID_160,6.1,2.6,5.6,1.4,,Virginica
irisID_116,5.5,2.6,4.4,1.2,,Versicolor
irisID_116,5.5,2.6,4.4,1.2,,Versicolor
irisID_118,5.8,2.6,4,1.2,,Versicolor
irisID_14,,2.6,,,,Setosa
irisID_144,7.7,2.6,6.9,2.3,,Virginica
irisID_105,5.7,2.6,3.5,1,,Versicolor
irisID_109,6,2.7,5.1,1.6,,Versicolor
irisID_85,5.2,2.7,3.9,1.4,,Versicolor
irisID_120,5.6,2.7,4.2,1.3,,Versicolor
irisID_127,5.8,2.7,5.1,1.9,,Virginica
irisID_108,5.8,2.7,3.9,1.2,,Versicolor
irisID_93,5.8,2.7,4.1,1,,Versicolor
irisID_137,6.4,2.7,5.3,1.9,,Virginica
irisID_4,5.8,27.3,3.9,16,,Versicolor
irisID_168,5.8,2.7,5.1,1.9,,Virginica
irisID_149,6.3,2.7,4.9,1.8,,Virginica
irisID_97,6.1,2.8,4,1.3,,Versicolor
irisID_81,5.7,2.8,4.5,1.3,,Versicolor
irisID_80,6.5,2.8,4.6,1.5,,Versicolor
irisID_99,6.1,2.8,4.7,1.2,,Versicolor
irisID_102,6.8,2.8,4.8,1.4,,Versicolor
irisID_159,6.3,2.8,5.1,1.5,,Virginica
irisID_158,6.4,2.8,5.6,2.2,,Virginica
irisID_156,7.4,2.8,6.1,1.9,,Virginica
irisID_154,6.4,2.8,5.6,2.1,,Virginica
irisID_152,6.2,2.8,4.8,1.8,,Virginica
irisID_125,5.7,2.8,4.1,1.3,,Versicolor
irisID_148,7.7,2.8,6.7,2,,Virginica
irisID_147,5.6,2.8,4.9,2,,Virginica
irisID_140,5.8,2.8,5.1,2.4,,Virginica
irisID_34,4.4,2.9,1.4,0.2,,Setosa
irisID_89,6.1,2.9,4.7,1.4,,Versicolor
irisID_84,6.6,2.9,4.6,1.3,,Versicolor
irisID_129,6.3,2.9,5.6,1.8,,Virginica
irisID_23,7.6,2.9,5.6,180.1,,Virginica
irisID_90,5.6,2.9,3.6,1.3,,Versicolor
irisID_104,6,2.9,4.5,1.5,,Versicolor
irisID_100,6.4,2.9,4.3,1.3,,Versicolor
irisID_100,6.4,2.9,4.3,1.3,,Versicolor
irisID_122,5.7,2.9,4.2,1.3,,Versicolor
irisID_133,7.3,2.9,6.3,1.8,,Virginica
irisID_123,6.2,2.9,4.3,1.3,,Versicolor
irisID_114,5.6,3,4.1,1.3,,Versicolor
irisID_131,7.6,3,6.6,2.1,,Virginica
irisID_173,6.5,3,5.2,2,,Virginica
irisID_171,6.7,3,5.2,2.3,,Virginica
irisID_130,6.5,3,5.8,2.2,,Virginica
irisID_110,5.4,3,4.5,1.5,,Versicolor
irisID_164,6,3,4.8,1.8,,Virginica
irisID_128,7.1,3,5.9,2.1,,Virginica
irisID_138,6.8,3,5.5,2.1,,Virginica
irisID_161,7.7,3,6.1,2.3,,Virginica
irisID_142,6.5,3,5.5,1.8,,Virginica
irisID_117,6.1,3,4.6,1.4,,Versicolor
irisID_101,6.6,3,4.4,1.4,,Versicolor
irisID_121,5.7,3,4.2,1.2,,Versicolor
irisID_121,5.7,3,4.2,1.2,,Versicolor
irisID_103,6.7,3,5,1.7,,Versicolor
irisID_153,6.1,3,4.9,1.8,,Virginica
irisID_155,7.2,3,5.8,1.6,,Virginica
irisID_175,5.9,3,5.1,1.8,,Virginica
irisID_92,5.6,3,4.5,1.5,,Versicolor
irisID_87,5.9,3,4.2,1.5,,Versicolor
irisID_39,4.3,3,1.1,0.1,,Setosa
irisID_38,4.8,3,1.4,0.1,,Setosa
irisID_64,4.4,3,1.3,0.2,,Setosa
irisID_51,5,3,1.6,0.2,,Setosa
irisID_27,4.9,3,1.4,0.2,,Setosa
irisID_71,4.8,3,1.4,0.3,,Setosa
irisID_91,6.7,3.1,4.4,1.4,,Versicolor
irisID_112,6.7,3.1,4.7,1.5,,Versicolor
irisID_29,4.6,3.1,1.5,0.2,,Setosa
irisID_163,6.4,3.1,5.5,1.8,,Virginica
irisID_165,6.9,3.1,5.4,2.1,,Virginica
irisID_56,4.8,3.1,1.6,0.2,,Setosa
irisID_15,5.1,3.1,,,,Versicolor
irisID_167,6.9,3.1,5.1,2.3,,Virginica
irisID_35,4.9,3.1,1.5,0.1,,Setosa
irisID_78,6.9,3.1,4.9,1.5,,Versicolor
irisID_166,6.7,3.1,5.6,2.4,,Virginica
irisID_60,4.9,3.1,1.5,0.2,,Setosa
irisID_55,4.7,3.2,1.6,0.2,,Setosa
irisID_151,7.2,3.2,6,1.8,,Virginica
irisID_146,6.9,3.2,5.7,2.3,,Virginica
irisID_28,4.7,3.2,1.3,0.2,,Setosa
irisID_21,3200,3.2,0.6,1.4,,Versicolor
irisID_141,6.4,3.2,5.3,2.3,,Virginica
irisID_96,5.9,3.2,4.8,1.8,,Versicolor
irisID_77,6.4,3.2,4.5,1.5,,Versicolor
irisID_76,7,3.2,4.7,1.4,,Versicolor
irisID_61,5,3.2,1.2,0.2,,Setosa
irisID_136,6.5,3.2,5.1,2,,Virginica
irisID_73,4.6,3.2,1.4,0.2,,Setosa
irisID_68,4.4,3.2,1.3,0.2,,Setosa
irisID_169,6.8,3.2,5.9,2.3,,Virginica
irisID_150,6.7,3.3,5.7,2.1,,Virginica
irisID_126,6.3,3.3,6,2.5,,Virginica
irisID_49,5.1,3.3,1.7,0.5,,Setosa
irisID_82,6.3,3.3,4.7,1.6,,Versicolor
irisID_170,6.7,3.3,5.7,2.5,,Virginica
irisID_75,5,3.3,1.4,0.2,,Setosa
irisID_33,5,3.4,1.5,0.2,,Setosa
irisID_32,4.6,3.4,1.4,0.3,,Setosa
irisID_37,4.8,3.4,1.6,0.2,,Setosa
irisID_162,6.3,3.4,5.6,2.4,,Virginica
irisID_2,4.5,3.4,-0.8,,,Versicolor
irisID_57,5.4,3.4,1.5,0.4,,Setosa
irisID_111,6,3.4,4.5,1.6,,Versicolor
irisID_54,5.2,3.4,1.4,0.2,,Setosa
irisID_50,4.8,3.4,1.9,0.2,,Setosa
irisID_46,5.4,3.4,1.7,0.2,,Setosa
irisID_52,5,3.4,1.6,0.4,,Setosa
irisID_65,5.1,3.4,1.5,0.2,,Setosa
irisID_174,6.2,3.4,5.4,2.3,,Virginica
irisID_69,5,3.5,1.6,0.6,,Setosa
irisID_62,5.5,3.5,1.3,0.2,,Setosa
irisID_43,5.1,3.5,1.4,0.3,,Setosa
irisID_66,5,3.5,1.3,0.3,,Setosa
irisID_22,,3.5,,1.7,,Versicolor
irisID_26,5.1,3.5,1.4,0.2,,Setosa
irisID_53,5.2,3.5,1.5,0.2,,Setosa
irisID_135,7.2,3.6,6.1,2.5,,Virginica
irisID_30,5,3.6,1.4,0.2,,Setosa
irisID_48,4.6,3.6,1,0.2,,Setosa
irisID_63,4.9,3.6,1.4,0.1,,Setosa
irisID_74,5.3,3.7,1.5,0.2,,Setosa
irisID_36,5.4,3.7,1.5,0.2,,Setosa
irisID_47,5.1,3.7,1.5,0.4,,Setosa
irisID_20,,3.7,,,,Setosa
irisID_44,5.7,3.8,1.7,0.3,,Setosa
irisID_72,5.1,3.8,1.6,0.2,,Setosa
irisID_143,7.7,3.8,6.7,2.2,,Virginica
irisID_45,5.1,3.8,1.5,0.3,,Setosa
irisID_157,7.9,3.8,6.4,2,,Virginica
irisID_70,5.1,3.8,1.9,0.4,,Setosa
irisID_6,,3.9,1.8,,,Setosa
irisID_42,5.4,3.9,1.3,0.4,,Setosa
irisID_31,5.4,3.9,1.7,0.4,,Setosa
irisID_40,5.8,4,1.2,0.2,,Setosa
irisID_58,5.2,4.1,1.5,0.1,,Setosa
irisID_59,5.5,4.2,1.4,0.2,,Setosa
irisID_41,5.7,4.4,1.5,0.4,,Setosa
irisID_12,,4.6,-0.3,,,Versicolor
irisID_11,,5.5,,,,Versicolor
irisID_1,,,7.6,,,Virginica
irisID_3,3.8,,,,,Virginica
irisID_5,,,,,,Virginica
irisID_7,,,,0.6,,Versicolor
irisID_8,,,7,1.1,,Setosa
irisID_9,9.1,,,1.2,,Setosa
irisID_10,,,,,,Setosa
irisID_13,4.2,,8.3,,,Setosa
irisID_16,,,,,,Versicolor
irisID_17,7.9,,3.7,,,Virginica
irisID_18,,,4,2.1,,Setosa
irisID_24,,,0.9,,,Virginica
irisID_25,3.6,,,,,Virginica